,index,ACCESSION_STRING,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502
5156,4009,SO_1884,11.61322836,11.78239683,11.85514834,11.51509925,11.10486495,11.15843224,11.19804216,11.02212943
5157,9976,SO_1884,10.23283322,10.7454118,10.52689662,10.3947977,10.41903855,10.40371119,10.19379495,10.37731232
5158,8761,SO_1885,9.938339224,9.736032056,9.648189191,9.747983288,9.42449456,9.668940525,10.10819784,10.11906281
5159,12407,SO_1886,6.96542458,6.741889457,7.023755327,7.114068562,7.073138324,6.800496637,7.360573553,6.9794262
5160,2819,SO_1886,7.716391392,7.976564627,7.752172133,8.132339516,7.877859795,8.275106424,8.419038824,8.097867995
5161,5908,SO_1886,9.190905157,9.445855665,9.010877969,9.36987013,8.603858448,9.130007629,8.957193006,9.223323202
5162,3531,SO_1887,9.020198917,8.817483643,8.680249934,9.100416187,8.581789359,8.636624939,8.83959776,8.664114219
5163,3840,SO_1887,7.276416059,7.087795236,7.52233701,7.206710007,7.379649879,7.642278013,7.471167848,7.511012048
5164,12228,SO_1887,7.453528591,7.326149351,6.993293236,7.169612763,7.583318529,7.636851793,7.281061486,8.171959058
5165,1372,SO_1888,9.875701498,9.832049523,9.866168237,9.875893441,10.30196064,10.07389063,9.536550952,9.459111563
5166,15094,SO_1888,,,,,,,,
5167,1891,SO_1888,9.335669683,9.287640446,9.331826873,9.181851286,8.953378274,8.952286495,8.971633613,9.173208872
5168,12151,SO_1889,10.92557768,10.80413109,10.66860811,10.84884303,11.23821817,11.51186077,10.87831447,10.9969369
5169,11458,SO_1889,13.83599795,10.06293164,12.14983644,11.83054,13.78025461,13.92738158,14.41867413,13.70500121
5170,11494,SO_1889,6.082150912,5.538191659,6.023063198,6.165536907,5.279613843,5.64205423,5.207017751,5.555550466
5171,13170,SO_1890,3.823376191,1.318808471,2.000420468,2.888771897,3.791172042,3.233633461,3.596200234,3.558431469
5172,2750,SO_1890,8.258419226,8.397675009,8.728346013,8.38167851,8.027906482,7.340963546,7.920725543,7.73195597
