,GENE,GSM769226,GSM769227,GSM769228,GSM769229,GSM769230,GSM769231,GSM769232,GSM769233
7878,SO3564,-2.652826801,-3.030302937,-4.449727866,-9.427637818,-4.471989094,-3.495775937,-0.934167237,-1.461087142
7879,SO3564,-3.616939549,-2.752166419,-3.510838042,3.527644543,-6.175591456,-3.735045895,-2.264330311,-1.650242523
7880,SO3565,-2.177400465,-2.866567938,-5.636200198,-6.327447335,-7.045735197,-5.52001357,0.389728303,-3.406519255
7881,SO3565,-3.179481692,-4.305599246,-3.660198942,-8.51599316,-7.857213815,-7.878977242,-4.403101646,-3.146662458
7882,SO3571,-0.451711503,-0.954570395,-1.710297036,-2.525181855,-1.830478175,-1.668169422,-1.25760455,-0.051842967
7883,SO3571,-1.821680003,-1.799460607,-0.76860334,,-2.568058449,-1.970866554,-0.671492223,-0.294988623
7884,SO3572,-0.400769762,-1.229929158,-2.603203076,-0.323910255,-0.586754111,-0.926608756,-0.440232265,-0.309223536
7885,SO3572,-0.450258593,-0.470020323,-2.816262243,-0.719070632,-2.159473422,-0.805430341,0.515679297,-1.324096221
7886,SO3572F,0.18485598,-1.285768519,-2.817465543,-0.467921757,-2.00603221,-0.814373535,-0.281529853,-1.575154057
7887,SO3572F,-0.621391401,-1.838562749,-2.885088387,,-5.15187114,-1.005985491,-1.304415852,-2.924577404
7888,SO3573,-1.100055951,-1.422568533,-1.533625108,,-1.760387189,-0.568698078,-1.062185866,-0.90542142
7889,SO3573,-0.825659029,-1.010925354,-0.943629256,-0.945828634,-4.439012813,-1.737600016,-0.62867677,-0.818854921
7890,SO3573F,1.178035937,-0.452147758,1.267799579,,3.612452593,,-2.341643868,2.108254786
7891,SO3573F,-0.680294815,-0.482832692,1.827450458,,0.892965941,-1.231424547,0.416306005,-1.993519769
7892,SO3573F,-0.586294844,,-2.054704947,-1.14511294,,,-0.464685127,1.682224723
7893,SO3573F,0.280904553,-0.433459435,,1.622223757,0.866697432,-3.625762308,-0.675672605,0.018970493
7894,SO3575,-2.936299128,-3.641792259,-3.50391188,-4.169814308,-2.473424641,-2.447590186,-2.130504589,-0.635936927
7895,SO3575,-4.19140047,-2.927671449,-2.920054311,0.458475376,-4.776699804,-2.47952485,-1.67125935,-0.600841956
7896,SO3576,-0.926020285,-1.160254621,-0.199052498,-2.70038845,-1.654072524,-1.703164443,-0.33968592,0.681485438
7897,SO3576,-0.088178333,-0.108794862,-0.321410115,-3.635094451,-1.523170686,-0.943611464,-0.836489093,0.58254831
7898,SO3577,0.562271403,0.180960847,-0.38603687,-2.375594767,-0.194882539,-0.365051684,0.871403999,1.608370431
7899,SO3577,-0.256358826,-0.325293853,0.045620378,-5.055195686,-0.509690589,0.28280049,0.855299429,1.656837923
7900,SO3578,-0.989842516,-1.630675234,-1.88896477,-2.49865898,-2.010314698,-2.508126565,-1.738654359,-0.731713969
7901,SO3578,-1.0945161,-1.930431883,-1.118433897,-0.493159406,-2.57638387,-0.642485175,-0.899461765,-1.843627442
7902,SO3579,-1.631529516,-1.643684037,-1.520189774,,-2.67388827,-2.298094609,-1.324809089,-2.334965506
7903,SO3579,-0.774027185,-1.629393764,-1.884427633,-1.313911206,-2.296502391,-0.908861697,-1.275750278,-1.303843605
7904,SO3580,-2.722710748,-2.661949057,-3.127336267,,-2.495764147,-1.441757369,-1.488193049,-2.79956118
7905,SO3580,-1.656659686,-2.530175324,-3.484499924,-2.74857983,-1.843151094,-0.71042452,-0.65835128,-1.661506312
7906,SO3581,-1.331201335,-0.781842495,-1.45838345,-1.878681536,-1.812936437,-1.083902075,0.180740164,
7907,SO3581,-1.083993981,-3.080130549,-3.004179685,,-0.816514641,,-0.90177322,-2.332642301
7908,SO3581F,-1.605785531,-1.711009115,-1.709444214,-1.557139596,-2.469263455,-1.138137264,-1.197602286,-1.90015534
7909,SO3581F,-1.054552671,-1.981433187,-2.927428156,-2.184322889,-1.516930312,-0.834099867,-1.97508655,-1.487592174
7910,SO3582,-0.848594517,-2.034617136,-4.727139875,-3.215445829,-1.978144045,-1.319223535,-0.522999485,-1.536106659
7911,SO3582,-4.168203719,-3.532165909,-7.857808471,2.547574822,-5.031049833,-2.037243405,-1.770828487,-3.966592042
7912,SO3583,-0.912096262,-1.078513778,-1.164543188,-2.01261121,-0.976774718,,-1.536700944,-0.316732281
7913,SO3583,-2.007012175,-1.154899483,-1.042483336,-0.603569947,-2.037918101,-0.72410944,-0.454593405,-0.30316855
7914,SO3584,-0.233075402,-1.366217032,-1.490908298,-0.832239303,-0.512626334,0.342232649,0.091425399,0.190476584
7915,SO3584,-1.365998854,-0.870910211,-1.159527038,-1.447666265,-1.213879797,-0.348115799,-0.128218325,-0.706746093
7916,SO3585,0.561326706,2.007527605,1.120169855,1.307289926,1.587793911,2.369042706,2.528557694,1.987033551
7917,SO3585,1.433726898,1.107539407,1.180238839,0.567999588,1.814906976,1.44863366,1.999917699,2.537627178
7918,SO3586,0.114190221,0.561054826,0.50631484,0.25780017,0.555645048,1.332581872,2.195811525,1.062791359
7919,SO3586,0.962693522,0.507940956,0.369860279,0.377159742,1.270341731,2.036199753,1.8502413,1.787667362
7920,SO3587,-1.755803348,0.262480682,,,-1.642417515,-0.996680356,-2.179900163,-1.783782775
7921,SO3587,-3.736530103,-2.936402597,-2.883017491,,0.754908986,-0.705733926,-0.266935074,-3.5778764
7922,SO3588,-2.711044588,-1.345188551,-0.217797488,-2.694161092,0.412314307,-1.726041326,-0.408867013,-0.343841611
7923,SO3588,-2.960474215,3.988324185,,-0.370410783,-1.514854958,,-0.810338794,
