,GENE,GSM282000,GSM282001,GSM282002
5697,SO2586,1.588129728,1.524860086,0.106308959
5698,SO2587,1.825446848,1.940385096,1.429293218
5699,SO2587,1.829496515,1.846745615,1.369148507
5700,SO2588,0.345331606,0.26282949,0.082531111
5701,SO2588,0.275586709,0.137272971,-0.369988274
5702,SO2589,1.016745642,0.837066907,0.373804156
5703,SO2589,0.95115284,0.769674626,-0.712911922
5704,SO2590,0.580394439,0.619530079,0.539866803
5705,SO2590,0.509447748,0.614329478,0.021371104
5706,SO2591,1.416518407,1.420154722,1.124205616
5707,SO2591,1.495282827,1.564794593,1.077022336
5708,SO2592,2.621255318,2.409751541,1.246535273
5709,SO2592,2.5202936,2.588167436,2.297580622
5710,SO2593,-0.186350811,-0.055954586,-0.248381733
5711,SO2593,0.156783751,0.094864841,0.067336096
5712,SO2594,0.670077543,0.766956316,0.456002841
5713,SO2594,0.698593916,0.717840091,0.316420245
5714,SO2595,0.854572457,1.002048223,0.400884097
5715,SO2595,0.603161829,0.566460552,0.487430621
5716,SO2596,0.363227764,0.513452581,0.160719516
5717,SO2596,0.336280576,0.466694168,0.098508201
5718,SO2597,0.331788433,0.462952553,0.193138561
5719,SO2597,0.256759431,0.379467467,-0.223639907
5720,SO2598,-0.016051391,-0.134913865,-2.355428158
5721,SO2598,-0.846948925,-0.424543364,-0.774304759
5722,SO2599,-0.679845085,-1.110214247,-1.648820332
5723,SO2599,-1.06922215,-0.898047161,-1.682417976
5724,SO2600,1.295618735,1.38378609,0.899943992
5725,SO2600,1.37335939,1.406321912,0.845779034
5726,SO2601,0.759259232,0.846190155,0.202543973
5727,SO2601,0.621982401,0.48324083,0.387835987
5728,SO2602,0.791977502,0.758062339,0.246463038
5729,SO2602,0.369873197,0.816285091,0.302828139
5730,SO2603,0.492145188,0.563390634,0.275743863
5731,SO2603,0.480068494,0.578258356,0.344259766
5732,SO2604,-0.007955939,-0.014273244,-0.564487645
5733,SO2604,-0.317343514,-0.210638311,-0.493848458
5734,SO2605,-0.031164591,0.145623504,-0.090477178
5735,SO2605,0.201442856,0.293554584,-0.250724622
5736,SO2606,1.110152586,1.116324885,0.566675237
5737,SO2606,0.939950254,0.965507295,0.73418373
5738,SO2607,-0.303990694,-0.202659072,-0.952543828
5739,SO2607,-0.272727417,-0.482104838,-0.507083095
5740,SO2608,-0.000526427,-0.219672394,-0.449368088
5741,SO2608,-0.145575245,-0.250608815,-0.966917709
5742,SO2608F,-0.136243263,-0.272643136,-0.846875961
5743,SO2608F,-0.245887148,-0.124849055,-0.500606551
